rank,candidate_id,semantic_score,semantic_norm,cross_encoder_score,cross_encoder_norm,cross_encoder_raw,structured_score,structured_norm,multiplier,final_score,experience_fit,notice_period_score,engagement_score,recency_score,github_score,assessment_credibility
175,CAND_0014234,0.5248,0.0338,0.512,0.0436,0.0478,0.6775,0.5044,0.56,0.0741,1.0,1.0,0.5005,0.1521,0.3,0.8
176,CAND_0061819,0.5241,0.0129,0.5106,0.0376,0.0425,0.6139,0.346,0.8,0.0725,1.0,0.15,0.6455,0.2087,0.49,1.0
177,CAND_0044091,0.5254,0.0527,0.504,0.0078,0.0159,0.6325,0.3925,0.7,0.0703,1.0,0.15,0.5915,0.3679,0.4767,1.0
178,CAND_0044428,0.5252,0.0459,0.5086,0.0286,0.0344,0.5531,0.1947,1.0,0.0679,0.7,0.75,0.4875,0.3063,0.3,0.6
179,CAND_0097176,0.5296,0.1855,0.5075,0.0234,0.0298,0.7872,0.7778,0.2925,0.0676,1.0,1.0,0.8085,0.2346,0.7567,0.8
180,CAND_0036416,0.5255,0.0573,0.5033,0.0049,0.0133,0.5977,0.3058,0.8,0.0667,1.0,0.45,0.4795,0.1287,0.2583,1.0
181,CAND_0072232,0.5244,0.0205,0.5058,0.0159,0.0231,0.5787,0.2584,1.0,0.066,0.7,0.45,0.601,0.4419,0.21,1.0
182,CAND_0041696,0.5265,0.0885,0.5063,0.0181,0.025,0.6277,0.3804,0.56,0.0645,1.0,0.75,0.4795,0.1165,0.3,0.8
183,CAND_0045475,0.5243,0.0178,0.5056,0.0151,0.0224,0.6318,0.3908,0.7,0.0638,0.7,0.75,0.5945,0.4346,0.685,0.6
184,CAND_0023093,0.5258,0.0658,0.5026,0.0017,0.0105,0.6338,0.3957,0.6,0.0618,1.0,0.45,0.8135,0.1204,0.3,0.8
185,CAND_0027723,0.5252,0.0466,0.5039,0.0076,0.0157,0.6552,0.4489,0.56,0.0613,0.7,1.0,0.6035,0.1471,0.6217,1.0
186,CAND_0038821,0.5245,0.0253,0.5182,0.0714,0.0726,0.5147,0.099,1.0,0.0608,0.7,0.15,0.6665,0.3558,0.3,0.8
187,CAND_0080315,0.5252,0.0465,0.5046,0.0106,0.0184,0.6575,0.4546,0.525,0.0588,0.7,1.0,0.597,0.3442,0.3,1.0
188,CAND_0049340,0.5249,0.0374,0.5087,0.0289,0.0347,0.5629,0.2191,0.8,0.0559,0.7,0.45,0.6615,0.1681,0.8483,0.6
189,CAND_0095184,0.5269,0.1001,0.5129,0.0477,0.0515,0.5604,0.2128,0.56,0.0555,1.0,0.15,0.4995,0.1471,0.3,1.0
190,CAND_0023583,0.5246,0.0283,0.5042,0.0087,0.0167,0.5815,0.2653,0.8,0.0535,0.7,0.75,0.607,0.1353,0.3,1.0
191,CAND_0052712,0.5238,0.0041,0.5039,0.0075,0.0156,0.5723,0.2426,1.0,0.0533,0.7,0.15,0.64,0.558,0.755,0.6
192,CAND_0063585,0.5248,0.0351,0.5052,0.0132,0.0207,0.5382,0.1574,1.0,0.0497,0.7,0.15,0.564,0.5134,0.215,1.0
193,CAND_0037424,0.5257,0.061,0.5056,0.0152,0.0225,0.5357,0.1514,0.8,0.0468,1.0,0.15,0.44,0.1287,0.5817,0.6
194,CAND_0074339,0.5249,0.0368,0.5032,0.0045,0.0129,0.5484,0.1829,0.8,0.0412,1.0,0.15,0.6445,0.1653,0.315,0.6
195,CAND_0046793,0.5252,0.046,0.5052,0.0131,0.0206,0.5729,0.2439,0.56,0.0397,0.7,0.75,0.5745,0.1165,0.3,1.0
196,CAND_0046020,0.5238,0.0033,0.5039,0.0073,0.0154,0.5538,0.1964,0.8,0.035,0.7,0.15,0.7115,0.2053,0.69,1.0
197,CAND_0073139,0.5261,0.0764,0.5048,0.0114,0.0191,0.4862,0.028,0.8,0.03,0.7,0.15,0.669,0.1953,0.3,0.8
198,CAND_0065835,0.5266,0.0911,0.5076,0.0239,0.0303,0.5484,0.1829,0.36,0.0285,0.7,0.75,0.652,0.192,0.195,0.6
199,CAND_0005421,0.5252,0.0461,0.5047,0.0109,0.0187,0.4749,0.0,1.0,0.021,0.7,0.15,0.541,0.2466,0.3,0.8
200,CAND_0048469,0.5238,0.0031,0.5055,0.0145,0.0218,0.5068,0.0794,0.8,0.0188,0.7,0.15,0.743,0.1331,0.3,1.0
